Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
53,Ivory Hollow,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1674,1303.56,681.1,-32.45,51.92,5515,4°C,Reykjavik (Iceland),,,,,,,,{t1:argent;charges:[{charge:sunInSplendour2;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1674&name=Ivory+Hollow&seed=7742447050053&width=1600&height=780&style=snow&tags=river%2Cdead+end%2Cno+square%2Cdense
54,Zin's Trolas,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,4051,1586.73,691.32,-34.02,95.35,161,14°C,Washington (D.C.),,,citadel,,,,,{t1:argent;division:{division:perPale;t:vert;line:dovetailedIndented};charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zin%27s+Trolas&population=4051&size=22&seed=7742447050054&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
55,Hant'stead,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,9153,1436.18,750.8,-43.14,72.26,13,6°C,Stockholm (Sweden),,,,,,,,{t1:argent;division:{division:chevronny;t:purpure};ordinaries:[{ordinary:pileInBend;t:sable}];shield:heater},https://watabou.github.io/city-generator/?name=Hant%27stead&population=9153&size=30&seed=7742447050055&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
56,Quivorunt,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,6082,495.32,259.24,32.24,-72.03,2953,6°C,Stockholm (Sweden),,,,,,,,{t1:vairAncien-purpure-argent;ordinaries:[{ordinary:gore;t:or}];charges:[{charge:bell;t:gules;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quivorunt&population=6082&size=26&seed=7742447050056&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
57,Rork's Tro,,,Bakuna,Bakuna's Territories,Crown,Shwazen Beliefs,capital,3241,212.33,292.14,27.2,-115.44,643,16°C,Dubrovnik (Croatia),capital,,citadel,walls,,,,{t1:or;charges:[{charge:armillarySphere;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Rork%27s+Tro&population=3241&size=20&seed=7742447050057&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
58,Bagatalat,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,4199,106.73,304.02,25.38,-131.63,118,19°C,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:tower;t:purpure;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bagatalat&population=4199&size=22&seed=7742447050058&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
59,Grorun,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,14526,1163.29,304.07,25.37,30.41,161,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grorun&population=14526&size=36&seed=7742447050059&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
60,Ashra'styr,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,10836,1541.74,342.35,19.5,88.45,13,22°C,Guangzhou (China),,port,,,,,,{t1:argent;charges:[{charge:lionHeadErased;t:gules;p:abc;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ashra%27styr&population=10836&size=32&seed=7742447050060&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.16
61,Lolarihaim,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1773,1512.3,702.22,-35.69,83.94,1890,7°C,Montreal (Canada),,,,,,,,{t1:or;division:{division:perBend;t:azure;line:nowy};charges:[{charge:mascle;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1773&name=Lolarihaim&seed=7742447050061&width=1600&height=780&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
62,Juale,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,2226,677.68,760.75,-44.66,-44.07,13,4°C,Reykjavik (Iceland),,port,citadel,,,,,{t1:vert;charges:[{charge:dolphin;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Juale&population=2226&size=18&seed=7742447050062&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.2
63,Lilant,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1877,464.85,251.35,33.45,-76.71,738,10°C,London (England),,,,,,,,{t1:gules;ordinaries:[{ordinary:quarter;t:argent}];shield:heater},https://watabou.github.io/village-generator/?pop=1877&name=Lilant&seed=7742447050063&width=1600&height=780&style=default&tags=river%2Chighway%2Cfarmland%2Cno+square%2Cdense
64,Tudagaga'de,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,5000,1666.36,251.95,33.36,107.57,82,11°C,Antwerp (Belgium),,,,,,,,{t1:gules;ordinaries:[{ordinary:chief;t:argent;line:wavy}];charges:[{charge:wyvern;t:argent;p:emo;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tudagaga%27de&population=5000&size=24&seed=7742447050064&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
65,North Quar,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,town,5495,292.43,268.38,30.84,-103.15,1736,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;division:{division:perFess;t:sable;line:straight};charges:[{charge:compassRose;t:vert;p:ABCDEFGHIJKL;t2:vert;size:0.18};{charge:heart;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=North+Quar&population=5495&size=25&seed=7742447050065&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
66,Alastyrpe,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3173,1587.06,318.74,23.12,95.4,7248,6°C,Stockholm (Sweden),,,,,,,,{t1:gules;charges:[{charge:bridge2;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Alastyrpe&population=3173&size=20&seed=7742447050066&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
67,Hiselt Pal,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1578,1179.77,446.37,3.55,32.94,52,29°C,Niamey (Niger),,,,,,,,{t1:argent;charges:[{charge:mallet;t:sable;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1578&name=Hiselt+Pal&seed=7742447050067&width=1600&height=780&style=default&tags=dead+end%2Cno+orchards%2Cno+square%2Cdense
68,Sztyryward,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,6026,1719.1,522.62,-8.15,115.65,82,28°C,Bangkok (Thailand),,,citadel,,,,,{t1:or;charges:[{charge:anchor;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sztyryward&population=6026&size=26&seed=7742447050068&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
69,Pear,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1915,600.2,632.5,-25,-55.95,30,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;charges:[{charge:ramHeadErased;t:gules;p:abc;t2:gules;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1915&name=Pear&seed=7742447050069&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
70,Gashila,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,9133,1055.05,669.64,-30.69,13.81,328,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:crossCalvary;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gashila&population=9133&size=30&seed=7742447050070&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
71,Zinisz,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,town,3492,239.84,696.55,-34.82,-111.22,52,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:arbalest2;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zinisz&population=3492&size=21&seed=7742447050071&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
72,Gilden,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,village,1584,611.46,731.21,-40.13,-54.22,266,7°C,Montreal (Canada),,,,,,,,{t1:azure;division:{division:perFess;t:or;line:straight};ordinaries:[{ordinary:pall;t:argent}];shield:heater},https://watabou.github.io/village-generator/?pop=1584&name=Gilden&seed=7742447050072&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
73,New Quary,,,Crown,Crown Provines,Crown,No religion,town,10314,1697.5,224.2,37.62,112.34,52,7°C,Montreal (Canada),,,,,,,,{t1:purpure;charges:[{charge:castle2;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=New+Quary&population=10314&size=31&seed=7742447050073&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
74,Na-Xaba,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,capital,20715,1377.18,235.43,35.9,63.22,2218,5°C,Harbin (China),capital,,citadel,walls,,temple,shanty town,{t1:azure;charges:[{charge:lizard;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Na-Xaba&population=20715&size=41&seed=7742447050074&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=1&style=natural
75,Xans Kep,,,Bakuna,Bakuna's Territories,Crown,Shwazen Beliefs,town,2394,68.35,275.58,29.74,-137.52,30,15°C,Rome (Italy),,port,,,,,,{t1:gules;ordinaries:[{ordinary:terrace;t:argent;line:straight}];charges:[{charge:roundel2;t:or;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xans+Kep&population=2394&size=18&seed=7742447050075&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.01
76,Vuistri-Qu,,,Quaspia,Quaspia,Quaspian,Soumi Shamanism,city,22088,1560.07,276.04,29.67,91.26,3793,7°C,Montreal (Canada),,,,walls,,temple,shanty town,{t1:purpure;charges:[{charge:trefoil;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Vuistri-Qu&population=22088&size=42&seed=7742447050076&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=1&style=natural
77,Ohal,,,Bakuna,Bakuna's Territories,Bakuna,Shwazen Beliefs,town,5194,99.37,294.43,26.85,-132.76,82,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;charges:[{charge:drawingCompass;t:argent;p:abcpqh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ohal&population=5194&size=24&seed=7742447050077&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
78,Zizal's,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,18273,557.05,380.54,13.64,-62.57,6644,14°C,Washington (D.C.),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:pallReversed;t:azure}];charges:[{charge:plaice;t:or;p:e;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Zizal%27s&population=18273&size=39&seed=7742447050078&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
79,Rohone,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3342,1273.33,455.69,2.12,47.29,13,29°C,Niamey (Niger),,port,,,,,,{t1:vert;charges:[{charge:pegasus;t:or;p:beh;t2:or;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Rohone&population=3342&size=20&seed=7742447050079&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.91
80,Dalend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,7709,1734.17,556.85,-13.4,117.97,13,28°C,Bangkok (Thailand),,,citadel,,,,,{t1:vert;division:{division:gyronny;t:argent};charges:[{charge:mullet;t:or;p:behdf;divided:counter;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Dalend&population=7709&size=28&seed=7742447050080&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
81,Thanol,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,11880,1724.69,588.31,-18.22,116.51,52,27°C,Mogadishu (Somalia),,,citadel,walls,,,,{t1:argent;charges:[{charge:crossClechy;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thanol&population=11880&size=33&seed=7742447050081&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
82,Camala,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,14275,577.23,647.06,-27.23,-59.47,2218,16°C,Dubrovnik (Croatia),,,,,,,,{t1:barry-argent-sable;division:{division:gyronny;t:gules};shield:heater},https://watabou.github.io/city-generator/?name=Camala&population=14275&size=35&seed=7742447050082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
83,Makap,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,village,1828,1243.23,670.74,-30.86,42.67,4019,8°C,Prague (Czechia),,,,,,,,{t1:argent;ordinaries:[{ordinary:orle;t:purpure}];charges:[{charge:anchor;t:purpure;p:e;size:1.1}];shield:heater},https://watabou.github.io/village-generator/?pop=1828&name=Makap&seed=7742447050083&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
84,Zauselyward,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Astellian Spirits,city,22171,297.86,694.45,-34.5,-102.32,52,14°C,Washington (D.C.),,,,walls,,,,{t1:argent;charges:[{charge:ladybird;t:vert;p:e;t2:gules;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zauselyward&population=22171&size=42&seed=7742447050084&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
85,Vaszta'de,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,12308,434.16,194.8,42.13,-81.41,52,4°C,Reykjavik (Iceland),,port,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:pile;t:purpure}];charges:[{charge:elephantHeadErased;t:argent;p:b;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Vaszta%27de&population=12308&size=33&seed=7742447050085&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
86,Naganolsz,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,14686,342.5,236.96,35.66,-95.47,738,8°C,Prague (Czechia),,,citadel,,,,,{t1:azure;division:{division:perFess;t:or;line:indented};charges:[{charge:bell;t:argent;p:k;t2:argent;size:0.7};{charge:horseRampant;t:gules;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Naganolsz&population=14686&size=36&seed=7742447050086&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
87,Lodshin'sol,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,village,1646,528.3,281.76,28.79,-66.98,1312,12°C,Paris (France),,,,,,,,{t1:masoned-argent-gules-small;division:{division:chevronny;t:azure};shield:heater},https://watabou.github.io/village-generator/?pop=1646&name=Lodshin%27sol&seed=7742447050087&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
88,Jualtoft,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,3868,1097.47,270.74,30.48,20.32,82,15°C,Rome (Italy),,,,,,,,{t1:vert;charges:[{charge:roundel2;t:argent;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jualtoft&population=3868&size=22&seed=7742447050088&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
89,Szarile,WCP,Western Crown Provinces,Crown,Crown Provines,Crown,Shwazen Beliefs,city,11867,395.8,319.44,23.01,-87.3,948,18°C,Barcelona (Spain),,,,,,,,{t1:gules;charges:[{charge:scale;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Szarile&population=11867&size=33&seed=7742447050089&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
90,Bolale,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,No religion,town,6298,1728.26,315.55,23.61,117.06,30,20°C,Alexandria (Egypt),,,,,,,,{t1:argent;charges:[{charge:plough;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bolale&population=6298&size=26&seed=7742447050090&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
91,Bamiamiamend,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,8115,1579.12,355.8,17.44,94.19,4738,17°C,Lisbon (Portugal),,,,walls,,,,{t1:sable;charges:[{charge:ploughshare;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bamiamiamend&population=8115&size=29&seed=7742447050091&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
92,Alod,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,17003,1536.4,372.6,14.86,87.63,82,27°C,Mogadishu (Somalia),,,citadel,,,,,{t1:or;charges:[{charge:sabre2;t:sable;p:jln;t2:sable;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Alod&population=17003&size=38&seed=7742447050092&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
93,Middlehearn,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,town,11524,1448.35,429.9,6.07,74.13,4738,19°C,Marrakesh (Morocco),,,,,,,,{t1:semy_of_crescent-or-purpure;charges:[{charge:lanceHead;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Middlehearn&population=11524&size=33&seed=7742447050093&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
94,Paltogentyl,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,14924,1343.59,454.66,2.28,58.06,9567,10°C,London (England),,,,walls,,,,{t1:or;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Paltogentyl&population=14924&size=36&seed=7742447050094&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
95,Hantyl,ECP,Eastern Crown Provines,Crown,Crown Provines,Crown,Soumi Shamanism,city,18672,1725.44,458.35,1.71,116.63,13,29°C,Niamey (Niger),,,citadel,walls,,,,{t1:argent;charges:[{charge:crossMoline;t:azure;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Hantyl&population=18672&size=39&seed=7742447050095&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
